Title,Description,Vacancies,Location,Min Education,Min Experience,Apply Before,URL
Call Center Representative,"We are looking for the services of ""Call Center Representative""Relevant candidates are encouraged to apply.",8 Posts,"Karachi, Pakistan",Intermediate/A-Level,1 Year - 2 Years,7-Jul-23,https://www.rozee.pk/guava-pro-solutions-call-center-representative-karachi-jobs-1388019?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388019&utm_campaign=ROZEE.PK_job_search
Manager Accounts / Finance,"Oversee the effective and efficient day-to-day operation of the Foundation’s Finance department to support the achievement of the Foundation’s business objectives and corporate strategies.Principal Accountabilities / Key Result Areas:Ensure that accounting records are prepared and maintained in accordance with the Foundation’s accounting policies, recommended accounting standards and related accounting principles and practices. This includes keeping abreast of changes in International Accounting Standards, understanding their implications for Namal, and planning & managing change where required.Direct the development of the Financial and Accounting policies, procedures and systems and advise senior management on the interpretation and implementation of these policies, procedures & systems. This includes ensuring that there is an appropriate internal control framework in place within the Foundation to effectively manage Key Business Risks and safeguard the Foundation’s assets.Ensure timely and accurate preparation, presentation and delivery of monthly and annual financial statements to the concerned parties as per Accounting Policy requirements, expected standards and agreed deadlines/timeframes.Together with the Chief Financial Officer, preparation of annual budgets and business plans, as well as any periodic financial forecasts which are required to effectively manage the financial operations of the business in line with Foundation Objectives. Monitor actual performance against approved budgets & business plans and investigate and report on significant variances.Co-ordinate the completion of the annual audit of the Foundation & Employee Provident Fund’s financial statements in accordance with local accounting standards & regulations and Corporate Head Office requirements.Ensure timely and complete adherence to all Taxation legislation & regulations as they relate to the Foundation (including all tax compliance/ filing, audits, payment & other obligations). Keep abreast of Taxation legislation & regulations (and changes thereto), in order to understand the implication of such legislation & regulations for the Foundation’s operations.Maintain effective working relations with bankers, auditors and other key external advisors/ parties.Performs all other tasks & projects as assigned by the Chief Financial Officer.Guide, direct and supervise subordinates to maintain a high level of performance and support them to meet work deadlines effectively. Responsible for the ongoing development of subordinates.Key Performance Indicators:Delivery of timely, accurate and relevant financial reports & statements in support of the achievement of business objectives.Timely completion of the annual audit of the Foundation’s financial accounts & records which demonstrates;Compliance with accounting standards and guidelines and with tax legislationQuality and accuracy of accounting records.Timely and efficient delivery of core accounting processes and effective systems of internal control.Timely and accurate response to all tax queries, filing, and Payment.Finalisation of the annual budget & business plan in line with Foundation objectives & strategies, and within the designated timeframes.Development of procedures and systems to enhance efficiencyDevelopment of team membersJob Purpose:Oversee the effective and efficient day-to-day operation of the Foundation’s Finance department to support the achievement of the Foundation’s business objectives and corporate strategies.Principal Accountabilities / Key Result Areas:Ensure that accounting records are prepared and maintained in accordance with the Foundation’s accounting policies, recommended accounting standards and related accounting principles and practices. This includes keeping abreast of changes in International Accounting Standards, understanding their implications for Namal, and planning & managing change where required.Direct the development of the Financial and Accounting policies, procedures and systems and advise senior management on the interpretation and implementation of these policies, procedures & systems. This includes ensuring that there is an appropriate internal control framework in place within the Foundation to effectively manage Key Business Risks and safeguard the Foundation’s assets.Ensure timely and accurate preparation, presentation and delivery of monthly and annual financial statements to the concerned parties as per Accounting Policy requirements, expected standards and agreed deadlines/timeframes.Together with the Chief Financial Officer, preparation of annual budgets and business plans, as well as any periodic financial forecasts which are required to effectively manage the financial operations of the business in line with Foundation Objectives. Monitor actual performance against approved budgets & business plans and investigate and report on significant variances.Co-ordinate the completion of the annual audit of the Foundation & Employee Provident Fund’s financial statements in accordance with local accounting standards & regulations and Corporate Head Office requirements.Ensure timely and complete adherence to all Taxation legislation & regulations as they relate to the Foundation (including all tax compliance/ filing, audits, payment & other obligations). Keep abreast of Taxation legislation & regulations (and changes thereto), in order to understand the implication of such legislation & regulations for the Foundation’s operations.Maintain effective working relations with bankers, auditors and other key external advisors/ parties.Performs all other tasks & projects as assigned by the Chief Financial Officer.Guide, direct and supervise subordinates to maintain a high level of performance and support them to meet work deadlines effectively. Responsible for the ongoing development of subordinates.Key Performance Indicators:Delivery of timely, accurate and relevant financial reports & statements in support of the achievement of business objectives.Timely completion of the annual audit of the Foundation’s financial accounts & records which demonstrates;Compliance with accounting standards and guidelines and with tax legislationQuality and accuracy of accounting records.Timely and efficient delivery of core accounting processes and effective systems of internal control.Timely and accurate response to all tax queries, filing, and Payment.Finalization of the annual budget & business plan in line with Foundation objectives & strategies, and within the designated timeframes.Development of procedures and systems to enhance efficiencyDevelopment of team members",1 Post,"Lahore, Pakistan",Masters only,Fresh - 3 Years (ACCA (Fresh) or ACCA & ACMA ( 3 years post qualification Experience)),6-Jul-23,https://www.rozee.pk/namal-education-foundation-manager-accounts-finance-lahore-jobs-1387349?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387349&utm_campaign=ROZEE.PK_job_search
Customer Sales Representative,"We are looking for the services of ""Customer Sales Representative""Relevant candidates are encouraged to apply.",35+ Posts,"Rawalpindi, Pakistan",Intermediate/A-Level,Less than 1 Year - 2 Years,7-Jul-23,https://www.rozee.pk/stoneage-communication-customer-sales-representative-rawalpindi-jobs-1388017?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388017&utm_campaign=ROZEE.PK_job_search
Driver,"We are looking for the services of ""Driver ""Relevant candidates are encouraged to apply.",5 Posts,"Lahore, Pakistan",Matriculation/O-Level,Doesn't Matter,6-Jul-23,https://www.rozee.pk/riders-fleet-driver-lahore-jobs-1387423?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387423&utm_campaign=ROZEE.PK_job_search
Sales Representative,"We are looking for an English-speaking Sales Representative to join our team in Lahore, Pakistan.Responsibilities:Develop and maintain relationships with clients in US and other English-speaking countriesIdentify new sales opportunities and establish relationships with potential clientsConduct sales calls, product demonstrations, and presentations to prospective clientsClose sales and meet or exceed monthly sales targetsCollaborate with the team to develop new sales strategies and improve existing onesKeep abreast of industry trends and competitor activitiesRequirements:Fluent in English (speaking, reading, and writing)At least 2 years of experience in B2B sales or a related fieldExperience in the mobile phone or electronics industry is preferred but not requiredStrong interpersonal and communication skillsProven ability to meet or exceed sales targetsWe offer a competitive salary package, performance-based incentives, and opportunities for growth within the company. If you meet the requirements and are passionate about sales,",6 Posts,"Lahore, Pakistan",Bachelors,2 Years,7-Jul-23,https://www.rozee.pk/ishine-technologies-sales-representative-lahore-jobs-1387909?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387909&utm_campaign=ROZEE.PK_job_search
"Associate, FIG Client Services","The Role: Associate, FIG Client OperationsGrade (relevant for internal applicants only): 07The Location: Islamabad, PakistanThis is an entry level position at a fortune 500 company operating in the business intelligence space. The associate will field client concerns, diagnose issues, and provide solutions. You will work across different divisions of the company providing you great insight into how S&P Global provides our clients with a world class product.The Team:We’re a truly global team, with presence in the US, UK, Pakistan, India, Philippines, and Argentina, that is dedicated to supporting and training our diverse clients on the Financial Institutions Group (FIG) solutions available on S&P Global Capital IQ Pro.The Impact: Combining product knowledge with a deep understanding of clients and how they use solutions, you will be at the forefront providing the best and most efficient way for our clients to achieve quality results.The Role:Interact with the clients and internal users as an expert of FIG Solutions and Product functionalityResolve client inquiries, relating but not limited to how we capture, process and display data via Emails, Chats and Calls in a timely mannerWork alongside Account Management, Data Management, Product Management, Technical Support and other Industry Teams to address client concernsConduct product demo/walkthrough of Capital IQ Pro to the clients, particularly focusing on FIG solutions and Product functionalitiesAct as a clients advocate by providing client feedback on data quality and product limitations to data and product management teams to improve data quality and deliver product enhancementsAssist with Training and Mentoring new hires after demonstrating expertise in product knowledge and best practices for client and case managementWhat’s in it for you: Become part of a company that is a results-focused meritocracy. We set high standards and value accountability. We seek to identify and reward extraordinary performance with growth opportunities.Establish as an expert of the Global Banking industry and FIG solutions by working alongside a group of industry expertsAssist a diverse portfolio of clients including top global financial institutions to help make informed decisionsImprove interpersonal skills and learn technical expertise like MS Excel, SQL and Financial modelingOpportunity to take on additional responsibilities such as PCO Campaigns, Client Webinars, KB Articles, PRG’s and any site level projectsWhat We’re Looking For: Basic QualificationsBachelor/Undergraduate Degree, preferably in Finance and Accounting related fieldsProficient with Microsoft suite of productsExcellent verbal and written communicationStrong problem-solving skillsPreferred QualificationsAdditional relevant qualifications such as ACCA and CFA would be an advantageWork HoursThis is a night shift position with working hours between 6pm – 3am local time (9am – 6pm ET). In case of a business need, the associate is expected to be flexible in adjusting work hours.-----------------------------------------------------------Equal Opportunity EmployerS&P Global is an equal opportunity employer and all qualified candidates will receive consideration for employment without regard to race/ethnicity, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, marital status, military veteran status, unemployment status, or any other status protected by law. Only electronic job submissions will be considered for employment. If you need an accommodation during the application process due to a disability, please send an email to: and your request will be forwarded to the appropriate person. US Candidates Only: The EEO is the Law Poster describes discrimination protections under federal law. -----------------------------------------------------------20 - Professional (EEO-2 Job Categories-United States of America), OPRTON203 - Entry Professional (EEO Job Group)",1 Post,"Islamabad, Pakistan",Null,Null,21-Jun-23,https://www.rozee.pk/sp-global-market-intelligence-associate-fig-client-services-jobs-1383223?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1383223&utm_campaign=ROZEE.PK_job_search
Graphic Designer,"We are looking for a creative Graphic designer with up-to-date knowledge to interpret our clients needs and to design solutions with high visual impact. You will work on a variety of products, including websites, Social media daily posts, Flyers, brochure designs etc. and you will cooperate with our designers and marketing team.The goal is to get the clients’ message across.ResponsibilitiesA solid body of workCreate Daily Social media post designsTake the design “brief” to record requirements and clients needsSchedule project implementation and define budget constraintsWork with a wide range of media and use graphic design softwareThink creatively and develop new design concepts, graphics and layoutsEdit video to include preselected Office clips, interviews, sound clips and other important aspects of the projectWork as part of a team with copywriters, designers, stylists, executives etc.RequirementsProven graphic designing experiencePossession of creative flair, versatility, conceptual/visual ability and originalityDemonstrable graphic design skills with a strong portfolioAbility to interact, communicate, and present ideasUp to date with industry leading software and technologies (In Design, Illustrator, Photoshop etc)Highly proficient in all design aspectsProfessionalism regarding time, costs and deadlines",1 Post,"Rawalpindi, Pakistan",Bachelors,1 Year,8-Jul-23,https://www.rozee.pk/prime-bpo-graphic-designer-rawalpindi-jobs-1388259?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388259&utm_campaign=ROZEE.PK_job_search
Student Recruitment Officer,"World Gates looking for a highly motivated, organized, dynamic and self-starting Student Recruitment Officer and immigration case file manager with a focus on delivering quality results. The successful candidates will play a primary role in helping to promote World-Gates’s school partners, recruit International students, and generate leads for visa services for Pakistanis who are interested in visiting or immigrating to CanadMain Duties and Responsibilities:Develop, implement and improve admission strategies;Attending in-person fairs and other events to promote college programs;Planning and participating in remote and on-campus events such as Virtual Fairs, Open Houses and Information Sessions;Visiting student recruitment agencies, offering training and information sessions about new programs and services;Responding to email, telephone, social media, and walk-in inquiries from potential students;Promoting curriculum and services in an honest, accurate, and ethical manner;Establishing and maintaining monthly targetstracking and reporting on weekly activities (i.e. leads, appointments, meetings, applications, enrollment);Talking with potential students to explore their academic and career background, identify their career goals,Review and enhance current web presence and social media recruitment strategies, recommending and implementing new strategies as required;Evaluate and process admission applications;Update and maintain student admission profiles;Administer all marketing initiatives available online, in social media, and on print;Manage admission policies in accordance with provincial standards, regulatory bodies and accrediting agencies;Qualifications: Bachelor’s degree in education, or marketing, advertising and / or business. 3-5 years experience in student recruitment and marketing, or immigration services. Managing digital marketing campaigns: Plan and execute online advertising campaigns, including search engine marketing (SEM), search engine optimization (SEO), social media marketing, email marketing, and content marketing, to enhance brand visibility and generate leads. Manage social media accounts, create engaging content, schedule posts, monitor performance metrics, respond to customer inquiries or comments, and grow the social media presence of the company in Pakistan. Content creation: Develop compelling marketing content, such as blog articles, website copy, social media posts, infographics, videos, and other digital assets, ensuring consistency and alignment with the brand message and values. Analyzing and reporting: Monitor marketing campaign performance using analytics to optimize marketing efforts and achieve business goals.Compensation:Develop contacts with the high school and university sector in PakistanGenerate leads for Canadian, UK, and German student placement, and also for Canadian immigration generally.",1 Post,"Rawalpindi, Pakistan",Masters,3 Years,6-Jul-23,https://www.rozee.pk/worldgates-student-recruitment-officer-rawalpindi-jobs-1387531?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387531&utm_campaign=ROZEE.PK_job_search
Accountant,"We are looking for the services of ""Accountant""Relevant candidates are encouraged to apply.",2 Posts,"Lahore, Pakistan",Bachelors,2 Years,8-Jul-23,https://www.rozee.pk/ajmal-sons-accountant-lahore-jobs-1388111?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1388111&utm_campaign=ROZEE.PK_job_search
Home Tutor,"We are looking for the services of the ""Home Tutor ""Relevant candidates are encouraged to apply.",1 Post,"Gujranwala, Pakistan",Bachelors,Fresh,7-Jul-23,https://www.rozee.pk/expert-group-of-services-home-tutor-gujranwala-jobs-1387945?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387945&utm_campaign=ROZEE.PK_job_search
Research Analyst,"The specific duties and responsibilities of a Research Analyst may include:Collecting and organizing data from various sources, such as surveys, databases, and reports.Conducting qualitative and quantitative analysis of data using statistical software and other analytical tools.Developing and implementing research methodologies to ensure the accuracy and validity of the data.Interpreting and analyzing research findings, and preparing reports to communicate the results to stakeholders.Presenting research findings to clients, colleagues, and other stakeholders, both verbally and in writing.Collaborating with team members and stakeholders to identify research needs and develop research questions.Staying up-to-date with the latest research methods and trends, and applying them to ongoing research projects.Ensuring the confidentiality and security of research data.Job Requirements:Analytical skills: ability to collect, organize, and analyze data from various sources and draw meaningful conclusions.Problem-solving skills: Ability to identify and solve complex problems using critical thinking and data analysis.Communication skills: Excellent written and verbal communication skills to present research findings to stakeholders.Attention to detail: Ability to maintain accuracy and attention to detail while writing scripts or collecting and analyzing data.Research skills: Knowledge of research methodologies and techniques to design and conduct research studies.Time management skills: Ability to manage multiple research projects and meet deadlines.Collaboration skills: Ability to work in a team environment and collaborate with colleagues and stakeholders.Technical skills: Proficiency in reading research papers is a must. The candidate should also be comfortable with writing programs based on the research done.The ability to program in Python or any other programming language is requiredAdaptability: Ability to adapt to changes in deadlines and methodsPerks and Benefits:Market competitive salaryInternet and Gym allowanceHome-office set upAnnual Performance AppraisalHealth insuranceLeaves (Medical, Casual, Maternity, and Paternity)Employee development and engagement activities Note: Leverify is an equal employment opportunity employer.",1 Post,"Islamabad, Rawalpindi, Pakistan",Masters,3 Years,6-Jul-23,https://www.rozee.pk/leverify-usa-research-analyst-islamabad-rawalpindi-jobs-1387389?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1387389&utm_campaign=ROZEE.PK_job_search
