Product,Description,Price,Food Type,Vegan,Spicy
Fried Rice For Kids,Served with crispy chicken wings and salad,£10.00,Kids menu,,Mild
Fried Fish,,£2.50,Extras,,Spicy
Chicken,,£4.00,Extras,,Mild
Beef,,£2.50,Extras,,Mild
Cowfoot,,£2.50,Extras,,Mild
Shaki,,£2.50,Extras,,Mild
Turkey,,£5.00,Extras,,Mild
Extra Sauce,,£2.50,Extras,Vegan,Spicy
Goatmeat,,£5.00,Extras,,Mild
Amala,,£2.50,Extras,Vegan,
Eba,,£2.50,Extras,Vegan,
Pounded Yam,,£2.50,Extras,Vegan,
Starch,,£5.00,Extras,Vegan,
Boiled Yam Served With Mixed Peppered,Freshly boiled yam served with mixed  peppered  sauce.,£15.00,Vegetarian- vegan menu,Vegan,Mild
Rice And Bean,A mixture of plain white rice cooked together withbeans served with special vegetables and mushroom sauce,£20.00,Vegetarian- vegan menu,Vegan,Mild
Yam Porridge,(Diced cooked ham in tomato sauce and blended vegetables sprinkled with baby spinach. Served with peppered tofu and plantain).,£15.00,Vegetarian- vegan menu,Vegan,Spicy
Fried Rice,(A selection of fine long grain rice cooked and mixed with finely diced vegetables and some coconut oil. Served with tofudodo).,£14.00,Vegetarian- vegan menu,Vegan,Spicy
Efo Riro,(Served with boiled yam or plantain).,£16.00,Vegetarian- vegan menu,Vegan,Spicy
White Rice,(Steamed rice served with tomato stew and plantain).,£15.00,Vegetarian- vegan menu,,Spicy
Okro Stew,(Served with pounded yam or amala).,£13.00,Vegetarian- vegan menu,Vegan,Spicy
Mashed Beans,"(A selection of honey beans cooked with blended vegetables, sweetcorn and boiled plantain).",£15.00,Vegetarian- vegan menu,Vegan,Spicy
1 Scoop,"For deserts we serve a choice of the following icecream flavours ,vanilla, strawberry, hazelnuts, chocolate, rum and raisins.",£2.00,Deserts,,
2 Scoops,"For deserts we serve a choice of the following icecream flavours ,vanilla, strawberry, hazelnuts, chocolate, rum and raisins.",£4.00,Deserts,,
3 Scoops,"For deserts we serve a choice of the following icecream flavours ,vanilla, strawberry, hazelnuts, chocolate, rum and raisins.",£5.00,Deserts,,
Tea,,£4.00,Deserts,,
Orange,GLASS,£2.00,Fruit juices,,
Apple,GLASS,£2.00,Fruit juices,,
Pineapple,GLASS,£2.00,Fruit juices,,
Coconut,GLASS,£2.00,Fruit juices,,
Cranberry,GLASS,£2.00,Fruit juices,,
Fresh Orange,GLASS,£4.00,Fruit juices,,
Fresh Apple,GLASS,£4.00,Fruit juices,,
Fresh Carrot,GLASS,£4.00,Fruit juices,,
Nigerian Coke,,£2.99,Soft drinks,,
Nigerian Sprite,,£2.99,Soft drinks,,
Nigerian Fanta,,£3.49,Soft drinks,,
Coke,,£2.50,Soft drinks,,
Sprite,,£2.50,Soft drinks,,
Pepsi,,£2.50,Soft drinks,,
Diet Coke,,£2.50,Soft drinks,,
Soda,,£2.00,Soft drinks,,
J2O,,£2.95,Soft drinks,,
Sparkling Water,,£2.00,Soft drinks,,
Malta Guinness,,£2.99,Soft drinks,,
Maltina,,£2.99,Soft drinks,,
Water,330ml,£2.50,Soft drinks,Vegan,
Smirnoff Ice,275ML,£3.50,Soft drinks,,
Water,,£5.00,Soft drinks,Vegan,
Bitter Lemon,,£2.50,Mixers tonics,,
Schweppes Tonic,,£2.50,Mixers tonics,,
Fever Tree Tonic,,£2.95,Mixers tonics,,
Red Bull,250ML,£2.50,Mixers tonics,,
Chapman Alcohol,"Traditionally fruit punch made with lemon, cucumber, grenadine, and bitters served with a hint of either vodka or rum",£15.00,Cocktails,Vegan,
Pina Colada Non Alcoholic,"A refreshing and tasty cocktail made with coconutcream and pineapple juice, garnished with fresh pineapple.",£7.99,Cocktails,,
Chapman,"A non-alcoholic punch made with a mix of cucumber,lemon and angostura bitters.",£8.99,Cocktails,,
Sex On The Beach,"A cocktail containing vodka, peach schnapps, orange and cranberry juice.",£12.98,Cocktails,,
Strawberry Daiquiri,"A classic fruity cocktail made with fresh or frozen strawberries, rum, lime juice and ice.",£8.95,Cocktails,,
Mojito,"Cocktail made of white rum, sugar, lime juice, soda, mint and water.",£8.95,Cocktails,,
Lagos Island,"A finely combination of  white rum, vodka, Gin, Tequila, triple sec and lime juice,  rigorously shaken to create a smooth blended taste.",£12.99,Cocktails,,
Lagos Mainland,"A mixture exotic mix spirits, special mix, Pineapple juice and orange to create a very beautiful mix for your enjoyment.",£12.99,Cocktails,,
Banana Island,"A luxury blend of vanilla vodka,  passion fruit puree and passion fruit juice.",£11.99,Cocktails,,
Victoria Island,"This whitehart signature special  carefully mix tocreate a beautiful taste of white rum,   signature mix, Pineapple juice and a dash of grenadine.",£12.99,Cocktails,,
Courvoisier Vs Cognac,25ml-Shot,£5.00,Shots,,
Hennessy Vs Congnac,25ml-Shot,£6.00,Shots,,
Remy Martins Vsop,25ml-Shot,£6.00,Shots,,
Bombay Sapphire,25ml-Shot,£5.00,Shots,,
Tanqueray,25ml-Shot,£5.00,Shots,,
Tanqueray Ten,25ml-Shot,£5.00,Shots,,
Bramley And Gage 6 Oclock,25ml-Shot,£5.00,Shots,,
Martini,25ml-Shot,£5.00,Shots,,
Hennessy Xo,,£299.00,Spirits,,
Silver Patron - Tequila,,£90.00,Spirits,,
Courvoisier Vsop Cognac (70Cl),Brandy,£80.00,Spirits,,
Majestat Xo,Brandy-70cl,£60.00,Spirits,,
Black Hennessy Vs Congnac,Brandy-70cl,£130.00,Spirits,,
Ciroc Black Raspberry,Vodka A blend of black raspberry and other naturalflavours.,£80.00,Spirits,,
Ciroc Apple,Vodka A distinctive blend of apple and other natural flavours.,£80.00,Spirits,,
Ciroc Mango,Vodka  (A blend of mango and other natural flavours).,£90.00,Spirits,,
Ciroc Pineapple,Vodka A blend of pineapple and other natural flavours.,£80.00,Spirits,,
Ciroc Snap Frost,Vodka,£80.00,Spirits,,
Ciroc Red Berry,"Vodka Infused with a blend of raspberry, strawberry and other natural.",£80.00,Spirits,,
Belvedere Citrus,Vodka,£80.00,Spirits,,
Belvedere Pink Grape Fruit,Vodka,£80.00,Spirits,,
Captain Morgan Dark,Rum,£50.00,Spirits,,
Barcadi Superior,Rum,£50.00,Spirits,,
Morgans Spiced,Rum,£60.00,Spirits,,
Sambuca,Liqueurs,£50.00,Spirits,,
Baileys Irish Cream,Liqueurs,£60.00,Spirits,,
Malibu,Liqueurs,£50.00,Spirits,,
Baileys Almond Drink,Liqueurs,£60.00,Spirits,,
Hennessy Vs Cognac,"Only the most expressive and distinctive eaux-de-vie are used and then carefully matured and blended to create Hennessy very special. Savour it's unique blend of warm, bodied flavours, neat, on ice or with a mixer",£90.00,Spirits,Vegan,
Jameson Irish Whiskey,70cl & 1 Litre,£70.00,Whiskey,,
Jack Daniels- Tennesse,Brandy-70cl & 1 Litre,£70.00,Whiskey,,
Jack Daniels-Bourbon,Brandy 70cl,£65.00,Whiskey,,
Wood Ford Reserve,Brandy 70cl,£60.00,Whiskey,,
Jack Daniels -Tennessee Honey,Brandy 70cl,£70.00,Whiskey,,
Jack Daniels -Tennessee Fire,Brandy 70cl,£60.00,Whiskey,,
Martel,,£80.00,Whiskey,Vegan,
Johnnie Walker Red Label,"A smooth and fruity blended American whisky, crackling with spice and bursting with vibrant, smoky flavours. 70cl",£60.00,Blended,,
Johnnie Walker Black Label,"A smooth and fruity blended American whisky, crackling with spice and bursting with vibrant, smoky flavours. 70cl",£70.00,Blended,,
Glenfiddich,70cl,£80.00,Blended,,
Grants,70cl,£65.00,Blended,,
Johnnie Walker-Double Black,1l,£80.00,Blended,,
Desparado,,£6.99,Beer,,
Odogwu Bitters,,£12.00,Beer,,
Small Budweiser,,£4.95,Beer,,
Budweiser,USA  300ml,£5.95,Beer,,
Big Guinness,Nigeria 600ml,£7.99,Beer,,
Small Guinness,Nigeria 325ml,£4.95,Beer,,
Star,Nigeria 600ml,£6.95,Beer,,
Heineken,Amsterdam 650ml,£6.95,Beer,,
Beck,Germany 660ml,£6.95,Beer,,
Origin,Nigeria 600ml,£7.99,Beer,,
Origin Bitters,Nigeria 20cl,£9.99,Beer,,
Stella Artois,Belgium 248ml,£6.95,Beer,,
Trophy,Nigeria 600ml,£6.95,Beer,,
Guilder,,£6.95,Beer,Vegan,
Palm Wine,,£7.00,Beer,Vegan,
Remy Martin  Xo,,£299.00,Champagnes,,
Bolinger Rose,,£90.00,Champagnes,,
Moet And Chandon Brut Rose,"Complex and elegant, but yet delicate champagne combining red berry flavours with a crisp and refreshing finish.",£95.00,Champagnes,,
Moet And Chandon Brut Imperial,"Light, fruity and fresh styled, but yet complex and elegant champagne, comprising of citrus and brioche notes.",£95.00,Champagnes,,
Moet Ice Imperial,"Fruity fragranced champagne created for serving with ice. It's intense fruity characteristic combined with a fresh finish, lends it a fullness in the mouth.",£90.00,Champagnes,,
Dom Perignon,,£249.95,Champagnes,,
Dom Perignon Vintage 1970,,£299.95,Champagnes,,
Veuve Clicquot Yellow Label Brut,"A complex and elegant brut champagne with rich biscuity flavours, fresh citrus characters and a creamy mousse.",£90.00,Champagnes,,
Veuve Clicquot Rose Nv,"A complex and elegant champagne with, aromas of red fruits and a refreshing balanced finish.",£95.00,Champagnes,,
Belaire Luxe White,,£75.00,Champagnes,,
Belaire Luxe Black,,£75.00,Champagnes,,
Crystal Brut Rose 2007,,£350.00,Champagnes,,
Crystal Brut Rose 2009,,£299.00,Champagnes,,
Belaire Rose,,£80.00,Champagnes,,
Laurent -Perrier Rose,It has an exceptional freshness and unique aromasof fresh-picked red berries.,£95.00,Champagnes,,
Ace Of Spades Gold,,£399.00,Champagnes,,
Remy Martin Vsop,"The original blend housed in its unique bottle,  aperfect harmony of poweful and elegant aromas with dominant notes of vanilla followed by ripe apricot, baked apple and a fine floral bouquet.",£90.00,Champagnes,Vegan,
Glass Of Wine,,£6.95,Wine,,
La Reserva,,£30.00,Wine,,
Alexander The Great,,£30.00,Wine,,
Casillero Del Diablo - Merlot,"Red A smooth, medium-bodied Merlot that perfectlycombines plum and red berry flavours with smoky, cedar wood aroma. Chile",£30.00,Wine,,
Hardys 1853 -Merlot,"Red A soft medium-bodied wine with generous plum fruit flavours, subtle spice and a lingering finish. Australia",£30.00,Wine,,
Santa Julia -Malibec,Red Full of Cherry and plum flavours with spice notes and a velvety finish. Argentina,£30.00,Wine,,
Mcguigan (Black Label),"A great fruit flavour of spicy plum, cherry and blackberry Australia",£30.00,Wine,,
Barefoot -Merlot,"Red A perfect combination of blueberry, boysenberry and plum flavours. California",£30.00,Wine,,
Jp.Chenet -Merlot,"Red A perfect combination of blueberry, boysenberry and plum flavours. France",£30.00,Wine,,
Jp.Chenet -Cabernet -Shiraz,Red An elegant wine that reveals aroma of cherry and blackcurrant with a touch of spice. France,£30.00,Wine,,
Grenache,"Red A rich and very round wine, its sweetness brings out the fruit. France",£25.00,Wine,,
Medinet -Rainat,Red Consists of grenache and blendsy. France,£25.00,Wine,,
Graffigna Reserve Malbec,"Red A rich and complex blend of red berry aromas,notes of cassis, sweet spice and pepper followed by toasty oak Argentina",£25.00,Wine,,
Yellow Tail- Chardonnay,"White A vibrant, flavoursome, fresh wine full of peaches, melon and a touch of vanilla. Australia",£25.00,Wine,,
Freixenet -Prosecco,"White Fresh and Fruity, with aromas of flowers, citrus and apple. Italy",£25.00,Wine,,
Blan And Medinet,"White Fruity aromas and clean, refreshing finish.France",£25.00,Wine,,
Martini Sparkling Wine,"White (A vibrant taste of grape juice, vine peaches elderberry and sage). Italy",£25.00,Wine,,
La Terrasse,Rose Luscious red fruits paired with a crisp. France,£25.00,Wine,,
Barefoot -Pink Mascato,Rose A juicy and refreshing wine with ripe nectarine aromas and flavours California,£25.00,Wine,,
Black Tower,"Rose A generous sweet and fruity wine with soft, juicy summer berry flavours. Germany",£25.00,Wine,,
Marques De Montino,"Rose A fresh, fruity rose packed with red fruit notes and a citrus finish. Spain",£25.00,Wine,,
Miraval Cotes De Provence Rose,"Rose Dry, crispy and elegant wine, combining red fruit flavours and a crisp finish. France",£35.00,Wine,,
Freizenet -Prosecco,"Rose A fruity and fragrant wine, composed of freshcitrus, apple and flowers. Clean and fresh with tones of ripe lemon, green apple and grapefruit. Italy",£25.00,Wine,,
Mateus,"Rose A young, fresh, fruity versatile wine with summery strawberry notes and a light fizz. Portugal",£25.00,Wine,,
Bowl,,£0.00,Takeaway bowl,Vegan,
