User Name,Post
Hamza Nasir 🚀,"Hi connections!I am looking for “Power BI Developers/Architect” for our Lahore, Karachi, Islamabad, Multan and Faisalabad offices!Send your resume at: hamza.nassir@systemsltd.comJob Requirements:1. 4+ years of experience working in Data Visualization and Solutions.2. Expert in Power BI data analysis, data visualization, writing DAX, and building dashboards and reports.3. Expertise in designing and developing a semantic layer of BI Tools.4. Collect, refine, and prepare data for analytics and visualization. Manage and utilize the Power BI platform to extract meaningful insights from it.5. Prepare reports using various visualization and data modeling methods. Define new KPIs and consistently measure them in the datasets.6. Develop, manage and enhance data models across key metrics to provide best-in-class, transparent and accurate forecasting.7. Partner with the business leaders and end-user base exercising flexibility in a matrixed organization to identify emerging trends and implement meaningful drivers.8. Ability to process large amounts of data to identify key drivers and develop robust models for various types of analysis and communicate effectively to stakeholders.9. Ability to write SQL queries and stored procedures. Familiarity with various relational database platforms (SQL Server, Teradata, Oracle, Snowflake, Vertica, etc).10. Strong communication skills in English both orally and in writing.Please read the job description thoroughly.Send me your resume at: hamza.nassir@systemsltd.com#hiring #systemslimited #jobopportunity #powerbi"
Anuja Ganguly,"I am #hiring for Assistant Manager- Hub Operations. No. of positions: 3Location: Khidderpore (2), Kaikhali (1)Compensation: 25K to 30K NTHDesired Industries: Mobility/ E-commerce/ LogisticsImmediate joiners will be preferred| Looking for male candidates onlyInterested and eligible candidates, please send their resumes at careers@snapecabs.com mentioning the job title on the subject line.This role reports into the Hub Manager.Key Responsibilities:-Oversee daily hub operations and ensure compliance with safety, quality, and efficiency standards.-Work with the hub team to fulfill daily vehicle requirements.-Monitor and analyze trip data to identify trends and opportunities for growth.-Develop and maintain relationships with Drivers for smooth operation.-Ensure compliance with all relevant regulations and industry standards.-Manage a team of transport and security personnel, including drivers, security guards, and support staff.-Maintain accurate records of transport operations, including driver logs.-Lead or participate in cross-functional projects aimed at enhancing operational efficiency and customer satisfaction.-Stay updated with industry trends, technologies, and best practices related to hub management and incorporate them into operations. Qualifications:-Bachelor's degree in business administration, logistics, supply chain management, or a related field.-3 to 4+ years of proven managerial experience in operations management (experience in Mobility or Ecommerce highly preferred).-Strong team management skills.-Excellent interpersonal skills.-Knowledge of logistics, supply chain management, and transportation regulations.-Willing to work on rotational shifts, with alternate Sat/Sun off.#hiringalerts #ecommerce #startups #startupjobs #operations #jobalerts #kolkatahiring #newcareeropportunities #career #change #mobility #logisticsjobs #rapido #olaelectric #uber #indrive #flipkart #amazon #jiomart #blinkit #zomato #swiggy Rahul Shaw Vikash Pandey Ankur Ghosh Subha Bhattacharya Avishek Shaw"
Emelda Aopoi,"Good afternoon my connections/friends:I am looking out for a Operations Clerk for our Goroko branch.As usual if you are or know of anyone that fits the requirements below then please do kindly email me your necessary credentials Position: Operations ClerkResposibilities: Scheduling truck runs, reporting, direct customer contacts such as Puma etc, coordinating drivers with daily tasking - to name a few.Requirements: Over 3yrs experience with fleet and logistics, committed and punctual, sober habits, willing to relocate to Gka at his/her own accord if considered, can handle pressure, and and with a go-getter attitude. Location: Goroka branchEmail: HROfficer-Operations@ipigroup.com.pg Please note that this is strictly for Goroka base residents only. Those applying from other centres relocation/accommodation will be at your own expense.Thank you"
Dan Dalton,I AM HIRING! We are looking for an incredibly talented Product Designer to join our team at Flock! Flock is on a mission to make the world quantifiably safer by providing commercial fleets with meaningful insights into driver behaviour. If you are a Product Designer up to the challenge of creating seamless experiences that translate HUNDREDS OF MILLIONS of miles of trip data into actionable and easy-to-digest insights... I got you! I love my recruitment and agency partners but at this time we are only taking direct applications.
"Merissa Campbell, CPHR","Monday Update....Looking for Junior to Intermediate Control Systems Engineers/Technologists & a Senior Field Service Technician!Control Systems Engineer/ Technologist• Junior- Intermediate, willing to train•  7 days on 7 days off, 12+ hour shifts•  Must have at least 1+ years of strong PLC Programming experience•  PR/ Citizenship required•  Valid drivers license and reliable vehicle •  Safety Sensitive role: security & drug & alcohol clearance required•  Compensation: base pay starting 124K+ •  Location: Kamloops (or nearby, travel to site is required, work is at a mine up north)Senior Field Service Technician•  Industry: Sawmill & Wood Processing (must have industry experience)•  Valid drivers license required•  Travel throughout US & Canada (40%)•  Interact with customers and provide technical support• Work along side the engineers and development team to test and configure custom systems•  Knowledge of lumber grading rules and the grading process•  Knowledge configuring computer HW & SW•  Troubleshooting Skills (network, computer, & electrical systems, including wiring.•  Mechanical Aptitude•  Compensation: Base pay: 80-100K+, additional travel incentives•  Location: Central Interior, BC (reach out for more information regarding location and company).Reach out for more information, I am happy to share more info to see if there is a fit 😀Please send a private LinkedIn message or email me at merissa@definehr.caAlso thank you to those who reached out for an update on my husbands surgery, he is on the mend 😃 🤞Please like, share, comment. Especially if you enjoy video content 😉#definehr #hiring"
Lucy O'Rourke 🚀,Hello LinkedIn! I need your help I am looking for a Trainee Team Manager to join our London Region! Please like and share across your network!!!! ✨✨If you have experience in management in any industry we want to hear from you 🙋🏼‍♀️ You will need to be a natural problem solver with the ability to multitask! This role can be high pressured at times but rewards you with fantastic learning opportunities and earning potential! If you are looking for your next challenging role please reach out to me on here for details! Please note - you will need to be car driver for this role#hiringnow #londonjobs #jobsinenergy
Jessica Orzel,"Having formerly worked with #Yellow, my heart is heavy for all my friends and former work family members to see Yellow is shutting their doors. I am currently with Republic Services, and we do have positions open in the Midwest for drivers, so please, if you are a driver looking for work: send me a message here and I can send an application link to you and start that recruiting process. For my corporate friends at Yellow, I am so sorry to see this hit to your livelihood as I personally know you have spent literal blood, sweat, and tears to do your absolute best possible by your company and co workers. Here’s a couple throw back photos from my time spent training at our KC academy and a couple of the wonderful humans I was blessed enough to work alongside."
David Kelly,"I am shockingly, comically bad at golf. However, that doesn’t stop me from occasionally watching more gifted souls play the game. One of their techniques is to examine a putt from multiple perspectives. They take a careful look at the green as they come up to mark their ball, look at the putt from the side, squat down to consider it from the opposite direction, and generally scout out the lay of the land from all angles. For myself, since I’m generally wielding the putter playing my seventh or eighth, I don’t further test the patience of my companions with such preparations. However, I will admit that, for the average golfer, looking at a putt from multiple angles yields useful information.A similar rationale can be applied to monetary policy decisions. Changes in monetary policy are among the most important drivers of stock and bond returns. Consequently, one of the questions we are asked most frequently is where will the federal funds rate be at the end of the year?Read the full article for my latest insights. #markets #economy #investing"
Dave McGlynn,"JOB VACANCYMy retail client is looking for a HRBP business partner,Based at the regional office in WoodmeadCANDIDATE I am looking for an innovative,passionate and trustworthy individual who is able to challenge,motivate and develop self and stakeholders in order to attract, retain, and inspire team members POSITION DETAILS HRBP service to 30 stores across multiple bannersEnd to end generalist support with specific focus on recruitment,CCMA representation Collaborate with Area Operations Leaders, Store Leaders and teams to execute holistic HR solutions KEY REQUIREMENTS Minimum 4 years Human Resources experience (Retail experience advantageous)Matric with a relevant tertiary qualifications in Human Resource Management/Industrial PsychologyValid drivers license with own carMicrosoft Office proficiencyCV's to dave@talentmatchconsulting.co.za Closing date 31 July 2023"
Riah Tobby,"#Letsshare#LetsgetjobGood day,I'm a 25 years old Male looking for a full-time job ,I have experience in diesel mechanic(Heavy Duty)I have a driver licence Code C1.Am ready to start anytime soon please contact me at 0816290106/0812075757"
Joel Marsh,"Hello LinkedIn friends - As you saw, I recently joined the California Department of Motor Vehicles and so of course - I am spreading the word on the current positions available. We are looking for forward thinking folks to challenge the way things have always been with how they COULD be. (And yes- many of the positions offer teleworking)Point your browser to https://lnkd.in/gbk8q7Jm or please do me a favor and share it out to your network if you know someone who wants to hop on board the innovation train that's only gaining speed. Check out the recent interview with our Chief Digital Transformation Officer - Ajay Gupta -Thank you in advance!"
Keith Tan,I am looking for a driver. Contact me if you are interested.I’m #hiring. Know anyone who might be interested?
Jim Stout,"Hello LinkedIn, I am looking for a Selling branch manager for Greeneville, TN and Knoxville, Tn. Essential Functions:• Be the primary driver of sales, operations, and profit for your branch.• Ensure the branch has a strong recruiting team and winning sales efforts.• Manage the recruiting, hiring, training, developing, and coaching of internal team members to ensure successfuloperations practices.• Responsible for the individual development of each team member.• Ensure recruiting and service operations meet 100% on-time order fulfillment.• Hold branch team and On-Sites accountable for meeting or exceeding performance expectations by clearly communicatingwhat is expected, empowering them with the necessary tools, training, resources, delivering positive and constructivefeedback in the moment, and providing corrective action as needed.• Direct activities related to improving results and achieving growth goals.• Ensure your branch complies with company policies and applicable government regulations.• Maintain regular and balanced time with clients, branch team members, and on-sites.Requirements:• Management, supervisory, or team-lead experience preferred.• Ability to work cross-functionally to proactively communicate and to resolve issues with the highest sense of urgency.• Excellent computer skills including proficiency in Microsoft Office suite.• Strong verbal and written communication skills.• A valid driver’s license is required for this role to travel between branch and prospect/client locations"
Simon Brown,"Some roles and organisations claim to have a clear purpose, some claim to be purpose driven, many unfortunately don't deliver against those bold claims.I promise, should you speak to me about the new partnership I am excited to be working on for Digital Gurus, you will realise that the goals, ambitions, and drivers of the organisation I am working with, define purpose driven.I am looking to speak with Senior E-Commerce Managers, who want to lead the digital, user and conversion journey for one of the largest brands on the planet.💹 This role will see your interventions and ideas implemented to drive the global growth ambitions of this organisations.❓You will have a challenger mindset, but will also be able to harness the power of a proven team of digitally minded individuals.💻You will have autonomy and ownership to drive the changes needed across design, content, and the user experience across the site.In return I have a fantastic package, and the opportunity to join a global business, with a great personality and feel to it. The opportunity to join a once in a life-time mission, and have fun along the way.Check out the link to the advert in the comments below, or drop me an e-mail on simon.brown@digitalgurus.co.ukI am blessed to have an amazing network across the E-Commerce space, this role will be popular, so don't delay in reaching out."
Rob Mullins,I am looking for a driver to join our experienced and growing team!
Shanice Cooper,"*NEW OPPORTUNITY*I am seeking a SENIOR CARE ASSISTANT, located in a beautiful Care Home in Colchester Essex. This is a Full Time - Permanent position, with an hourly rate starting from - £12.55PH. MUST :Hold an NVQ3Full UK Drivers License with your own vehicle. (due to location). This is a great opportunity If you have a passion for Care, and looking to  progress in your career. Please send me a copy of your CV to shanice@antonyjames.co.uk"
Luke Owens,"In January 2024 I will be leaving my role as an Infantry Soldier within the British Army. Since leaving my role as Assistant Manager at PureGym Swindon, I joined the British Army as an Infantry soldier. This has enabled me to develop discipline, self motivation, self management and time keeping to the highest of levels. Within my role I have deployed around the globe and deployed on an Operational Tour in Mali, Africa. During this tour my role was of the Lead Call Sign driver, in this I had to navigate the harsh desert and find routes viable for our Battlegroup before I would then lead my Platoons worth of vehicles into the villages to conduct reconnaissance missions of ISGS & the humanitarian situation on the ground for the UN, both at night and day. I am now looking for work - on site or remote that would be suitable for ex military, from January 2024. If any of my connections have anything in mind, please shoot me a message or comment on this post."
Olivia Leal-Walker,"It is no surprise that Sustainability Manager comes in at number 9 on this list. Organisations are increasingly identifying the need to prioritise sustainability and ESG, and the amount of work that is required to action the commitments that they make. I am so fortunate to spend my days at SunRice Group improving the lives of others, spending every day living by my values.Sustainability Managers are responsible for shifting the attitudes and actions of an organisation so that it can create focused, meaningful societal benefit while providing value for customers and shareholders. In its most basic form, it is about doing less bad and more good.  By working in-house, it enables the space to build genuine relationships with the people within an organisation, to understand their drivers and those of the business, and to design and implement programs that solve for those needs. Creating a cultural shift over time that genuinely embeds sustainability into all decision-making is the end goal. You can bring value to this role regardless of your passion, your strengths and your style. There are Sustainability Manager positions suitable for those who are analytical, like change management, enjoy report writing, have a vision they want to deliver, and especially for those who just like to get on with the job.You can specialise in any field across the environment, social or governance spheres, or you can be a generalist. There are roles in corporate, government and not-for-profits. If you are looking to move into a Sustainability Manager position, I advise that you look to grow your skills by volunteering in your local community (a university qualification is also generally required). Regardless, this role universally requires adaptability and grit. Finally, you do not need to be a Sustainability Manager to create change in your organisation. Find something that you can do in your role today to improve lives, protect the environment and improve the customer experience today.__I am delighted to have been asked to share my perspective on being a Sustainability Manager by Cathy Anderson. If you are interested in this career and would like to know more about how you can bring your individual strengths and passions, please do reach out."
Lorenzo Simonelli,"Three months ago, Baker Hughes convened 1,600+ customers and partners at our Annual Meeting in Italy to discuss the balance of the energy trilemma and the momentum needed to advance towards a net-zero emissions future. In my keynote, I shared the results from our Energy Transition Pulse report, conducted in partnership with FT Longitude, which revealed the #1 most important activity to drive sustainable and affordable energy will be to continue investments in lower carbon energy sources: https://lnkd.in/g_m28Vud These lower carbon energy sources include hydrogen - an addressable market as much as $30 billion by 2030 for Baker Hughes. I am encouraged to see other leaders support the hydrogen economy, too, since it takes all of us to address climate change. Leaders like my friend Arnaud Pieton of Technip Energies are carrying the hydrogen economy forward. I encourage my network to read his note below on hydrogen’s necessity for investment in Europe, to balance wind and sun while also maintaining affordable energy. It is a great reminder that the energy industry continues to be the driver of emissions reduction if we align together, share a singular vision for the future, and take action every day. As Arnaud says, “We know what this new world looks like. We now need to invent, scale up and deploy its solutions.” For my network, how else can we deploy hydrogen technologies faster?#hydrogen #EnergyTechnology #Netzero2050 #BHAM23"
Nuri S.,"Good Morning Good PeopleI am looking for a Driver, if you are interested. Please comment or contact me by DM."
Mohamed Ali Jinnah,"Assalamu alaikkum sirI am looking for Driver Job, but I am currently in india. If you give me a chance I will come to dubai in one week.I have driving experience in 12 years from al tayer Motors.My WhatsApp no: +971559869401Mobile no: +918903283488mail id: mmajpb@gmail.com Thanks."
Usman Basharat,"Hello everyone Anyone looking for light duty driver job!Should be in UAE, preference will be given to immediate joinerShould have basic English communication skills.If interested just DM, Thanks"
Osman Gony,"I am looking for a Driver, ready to join.Local hiring only in Riyadh, with good salary package.Those who are #driver #hiring #driverjobs #Riyadh #cv #Saudiarabia  interested can Dm Your CV on…👇og@rewindsa.com"
Jayraj Ingle,Hello LinkedIn friendsI am looking for someone to hire for a principal engineer / program lead role in the area of AMD Server post silicon validation. The location is Austin Texas. If you have tech leadership experience or strong tech PM experience in post silicon validation (X86 or ARM) and are looking for new opportunities please reach out to me or Laura Marin. Come join us at AMD to driver the next generation innovation. Following is a link to the job req:https://lnkd.in/gh35izCB
Syed Dipa - HR Generalist,"Dear All,I am looking for a driver based in Dubai.Should be having valid UAE driving license and be able to control a 3 ton Vehicle!Please send your resume to recruitment@saddledubai.com.Subject: Application for Driver"
Mansoor Attar,"Hi,I am looking for a band 5 Community Nurse to work in our Aylesbury ACHT.Please send CV and when they can start. Band 5Full time Mon-Fri 08.00-16.00 (minimum we can accept is 4 days)Aylesbury and surrounding areas. Base is at Stoke Mandeville HospitalDriver and access to a car. Must be competent in – Dressings / Wound managementPressure ulcer careCatheter (male and female)Venepuncture"
Dany Theofilidis,"I am looking for a driver in Riyadh to enter into an agreement for a monthly fee to drive me to and from work, 5 times per week and occasionally my wife for shopping and any other social obligations; must be an English speaker and early riser since I start work at 0700 am.  Contact me at danytheofilidis@gmail.com if interested"
Apoorva Kumar,I am looking for a Driver app plugin --> which we can plug to our delivery app. This plugin would take inputs on Payment variables for the riders -> Calculate and show /send Payout information to the rider on the rider UXif you know/ have such a tool - Ping me
Rob Caleca,I am looking for a Delivery DriverDriving 26ft Box truck My warehouse is in Livonia Tuesday -Friday schedule Pay varies on type of license you have (Chauffeur’s License at a minimum)Let me know if you or anyone you know might be interested
Niksha Wadhwa,"Happy Tuesday!! I hope you all are having a Great week!I am looking for a Driver Development Engineer, to work with a Fortune500 company. This is 100 % Remote and 12 months Contract Opportunity. Let me know if this is something that interests you!#opportunity #USA #W2 #development #job #hiring #USAJobs"
Prudence Ramotso,"Job opportunity, I am looking for a driver with PDP . Please inbox me for further details."
Karena S.,"The time has come to expand my team in London 😁I am currently recruiting for an account manager to join my fabulous colleagues and I in continuing to nurture and develop our customer relationships across the capital. I have 2 positions, 1 in South London and one in North London. If you have experience in building customer relationships, evidence of generating sales among client accounts, able to develop and maintain long relationships, possess strong communication skills and have knowledge of the motor trade ( ideal but not necessary) full drivers licence, then this might be the opportunity you are looking for. If you or anyone you know maybe interested please contact me directly or apply by clicking the link below."
"Sara Taha. ACIPD, MBA, HRM, BA","Hello Everyone,I am looking for a lady driver to work for a VIP family in Dubai.should have minimum 3 years experience of driving in Dubai. additionally, i am looking for Horse Trainer (live-in job) in Dubai.A detailed JD will be shared with selected candidates only.Please send the related resume/s with your salary expectation to: careers@tamimiinvestments.comThanks,Sara."
Vladimir Kiselev,"I am pleased to announce that I am looking for a Regional Driver Operations Team Leader (SEA).This is a very interesting and important role that is also a great challenge of managerial, business development, project management skills and requires an ability to see the big picture. #hiring #recruitment #job #seajob"
Alex Smith,Two weeks into my journey at Marconi Associates speaking to engineering teams and leaders and I am coming across similar challenges across the industry:- Lack of PM and engineering on-boarding is a key driver in burnout and high turnover in the industry- this could be reduced by a standardised on-boarding process to help new starters in their first month- Over hiring in 2022 has led to a lot of turnover in the industry and an abundance of talented people actively looking for opportunities- Companies executing small to mid size projects ($20M or less) continue to thrive and are actively hiring across a broad range of disciplinesAppreciated everyone’s time so far and my inbox and phone is always open if you want to connect to discuss how we can help you in the market!#execution #supplychaintechnology #hiring
Charlotte Battersby,"💥 BRAND NEW - PAID SOCIAL MANAGER - UP TO £50K PLUS BONUS 💥This is one of these roles, where I can hand on heart throw the words CAREER CHANGING out to my wonderful Paid Social network - this brand are one of the most formidable Brands in not only the country, but across the entire world and I can bet my bottom dollar you will have been a customer of them yourself at some stage of your life! 🌎Off-boarding the accounts from agency and bringing in-house, you will be rolling up your sleeves and ripping up the rule book - completely setting up, strategizing and activating the Paid Social accounts in whichever way you see fit! These accounts are in need of an out-and-out Paid Social-obsessed hands on superstar to completely OWN the day to day strategy and activations across Meta, Snapchat and TikTok, which are currently ticking over an annual spend of £1million. This figure needs to BLOW UP, paid social has so much potential to be a huge revenue driver for the organisation, we just need the right person to steer them to where they need to be 🚀I've placed the Senior Performance Manager who this reports into who is absolutely fantastic. Such a warm, people-focussed Manager who holds personal development of their team very close to their heart, they really would be a fantastic Manager to have - the PPC Manager, Affiliate Manager & Display Manager who I placed earlier on in the year who report into them absolutely agree ❤️Based in Salford Quays 1 day a week with a once a month requirement to travel down to the Southern office, there's a super benefits package on offer inclusive on bonus and competitive holiday allowance 💰I am now looking to speak to HANDS ON, Snr Execs or Paid Social Managers with vast ECOMMERCE experience - this is a must 🛍️My inbox is open... drop me a message for more information and be quick - this one won't be around for very long 💨#paidsocial #ecommercejobs #manchesterjobs"
Andrei Forte,I am looking for a Personal Driver to the CEO:Any Nationality but must be good in communicating in EnglishMust have a valid drivers license At least 2 years driving in DubaiAvailable Immediately or at least 1 week noticeNeeds to live near/around -the employerBenefits:-Monthly Salary-Housing (near employer’s house)--Insurance-Annual Ticketsend me your CV hello@boopin.com#dubaijobseekers #driverjobs #dubaidriver #hiringimmediately
Brendan O'Donnell,"I am excited to share an #opportunity to join the Tech/Telco team at Spotify.I am looking for a revenue growth driver skilled in using insights, measurement, and teamwork to develop and execute cross-functional strategies and partnerships.Tech/Telco industry knowledge and experience preferred. Please repost and send referrals my way."
Chinara Mikailzadeh,"Dear all,I am urgently looking for a driver with 5-7 years of experience and fluent of #russian. The salary is 800-1000 AZN.Please share with me your resume to ch.mikayilzade@globetrans.az mail address as soon as possible."
Juda Seboko,"Hi everyone, I am currently looking for a code14 driver learnership or a job where I would be trained to drive a code EC truck.I have a code EC drivers licence with PDP and 3 years experience as a courier driver. All I need is to be given a chance  to gain truck driving experience so that I could be the best truck driver.Unitrans Africa DSV - Global Transport and Logistics Cargo Carriers Pty Ltd BF Petroleum Group Coca-Cola Beverages Africa The South African Breweries Digistics (Pty) Ltd KargoOneLogix Group Value Logistics Imperial +27681901897judaseboko@gmail.com"
Paige Stanley,I am currently looking to add to my team! Seeking a settlements supervisor to assist with driver pay and all items around ensuing accuracy. We are in a system called TMW. Experience with the system would be great but is not required. Please reach out with any interest! Settlements Supervisor
Holli-May Willock,"Assistance Needed if you can 😃 I am looking for owner drivers for a LWB Vehicle in the following areas :6 x  drivers in Stockbridge6 x  drivers in Exeter6 x  drivers in Rochester6 x  drivers in Thetford45 drops per day. Day work within the area.Ongoing work available.More details when I am in contact with yourselves.Drop me a line - holli@pro1logistics.co.ukThank you, have a lovely day!#lwb #ownerdriver #haulage #work"
Paul Rolfe,"I am looking for owner drivers for a daily line haul.Loading everyday in Waterloo, Belgium for Delivery to Coventry. UKFerry crossing is on our account. paul@wallertransport.co.uk"
Trust Rudumbu,"Dear Hiring Manager, Ref: Application for Truck Driver position. I'm writing to you today to apply for the position of Truck Driver currently available at your company. As a dedicated and hardworking individual with many years of driving experience, I am thrilled at the opportunity to become an integral part of the supply chain for this company, please accept this letter as an expression of my interest in the truck driver position , l am a highly motivated and progress-focused driver with a long standing background in this industry ,with a track records of intiative and dependability. l have devised strategic initiatives which l believe will prove valuable to the company.Through out the course of my career, l have perfected my work skills and experience ability. I am a capable and consistant problema-solver skilled at prioritizing and managing projects with proficiency.as a dedicated and hardworking individual with many years of driving experience , l am interested to become an integral part of the supply chain to this company.l would greatly appreciate the opportunity to be part of company, please take a moment to review my attached resume and credentials.please respond to email: trustrudumbu1977@gmail.comThank you for your consideration Sincerely, Trust Rudumbu"
Creselda Ntsokgolo,Urgent Hire!!I am urgently looking for a forklift Driver to commence on the 08th of May 2023.Requirements2-3 years exp as a forklift driver- non negotiableValid forklift license.Excellent eye-hand coordination.Proficiency in operating technical machinery.Good physical condition.Attention to details.Interested? Please send your CV to hr@starhubenergy.co.zaLocation: Johannesburg#Forklift Driver#urgenthiring
Fatmah SHRC,"I am looking for a heavy transport driver in the Kingdom of Saudi Arabia. If you are interested, please contact me via e-mailHR.DCCF99@gmail.com"
